,danceability,energy,loudness,acousticness,instrumentalness,valence,tempo,genre,like
0,2,4,3,0,0,4,159.938,2,0
0,2,3,4,1,0,3,90.404,2,0
0,3,3,3,0,0,1,127.03,2,0
0,0,0,2,4,0,1,99.796,11,0
0,4,1,2,1,0,1,115.933,11,0
0,3,2,2,0,0,2,83.037,2,0
0,2,3,2,1,0,0,211.842,11,0
0,3,3,2,0,0,3,121.839,11,0
0,4,3,4,0,0,1,130.008,11,0
0,3,2,2,0,0,2,129.096,5,0
0,2,4,4,0,0,1,92.722,11,0
0,3,4,4,0,0,2,122.943,11,0
0,4,4,4,0,0,4,122.98,11,0
0,2,3,3,1,0,1,124.169,5,0
0,3,3,3,0,0,0,107.074,2,0
0,3,3,3,2,0,1,116.032,11,0
0,3,2,2,0,0,1,125.091,2,0
0,3,3,3,0,0,3,115.042,11,0
0,3,3,3,0,0,2,149.005,11,0
0,0,3,3,0,0,1,179.85,11,0
0,3,3,3,1,0,4,74.992,11,0
0,2,2,2,0,0,2,153.15,11,0
0,3,3,4,1,0,2,119.986,11,0
0,3,3,3,1,0,4,114.996,11,0
0,2,2,2,0,0,1,143.008,11,0
0,2,4,4,0,0,1,144.997,3,0
0,3,4,4,0,0,0,124.033,3,0
0,4,3,3,0,0,2,92.005,2,0
0,3,3,1,0,0,0,130.885,2,0
0,2,3,3,0,0,1,96.107,11,0
0,3,2,3,1,0,3,149.989,11,0
0,3,3,3,1,0,1,125.893,3,0
0,2,4,4,0,0,3,148.006,11,0
0,1,4,3,0,0,1,127.981,11,0
0,1,3,4,1,0,0,150.398,2,0
0,3,3,3,0,0,1,89.979,2,0
0,4,3,2,0,0,3,124.992,11,0
0,3,3,3,2,0,4,106.999,11,0
0,4,2,3,1,0,2,140.024,2,0
0,1,4,3,0,0,1,89.273,11,0
0,4,2,3,2,0,3,141.963,11,0
0,3,3,3,0,0,2,127.027,11,0
0,2,3,3,0,0,0,127.959,2,0
0,3,4,3,0,0,0,139.742,5,0
0,4,2,4,1,0,3,140.083,2,0
0,4,3,3,3,0,4,124.98,11,0
0,2,4,4,0,0,1,128.04,11,0
0,3,2,3,0,0,1,124.041,5,0
0,4,3,3,3,0,4,124.98,11,0
0,3,2,2,2,0,1,145.044,11,0
0,3,2,2,2,0,1,149.943,2,0
0,4,1,3,2,0,2,136.111,11,0
0,3,3,3,0,0,4,115.933,3,0
0,2,4,3,0,1,0,126.016,3,0
0,2,3,3,0,0,2,89.993,5,0
0,3,3,3,0,0,3,115.042,11,0
0,3,3,3,0,0,2,120.961,11,0
0,3,3,3,0,0,4,127.972,5,0
0,1,2,4,0,0,0,100.042,2,0
0,3,4,3,0,0,3,124.974,3,0
0,2,4,3,1,0,2,114.963,5,0
0,3,3,2,0,0,1,127.002,3,0
0,2,4,3,0,0,2,128.006,11,0
0,3,3,3,0,0,2,117.953,11,0
0,2,2,3,4,0,1,101.19,11,0
0,2,3,3,2,0,3,78.748,11,0
0,2,3,3,0,0,0,129.527,5,0
0,4,3,3,0,0,3,124.974,11,0
0,2,2,3,3,0,0,94.467,11,0
0,1,3,2,1,1,2,95.967,6,0
0,3,4,3,0,0,1,121.03,3,0
0,3,2,2,1,0,2,115.993,11,0
0,4,2,3,1,0,1,120.016,11,0
0,1,3,4,0,1,1,180.057,3,0
0,1,2,3,1,0,2,110.933,11,0
0,3,2,3,0,0,3,134.068,11,0
0,3,1,3,0,0,3,83.058,2,0
0,3,3,3,0,0,1,120.062,11,0
0,3,2,3,0,0,2,104.023,11,0
0,2,3,3,0,0,2,88.98,11,0
0,3,3,3,0,0,3,118.032,11,0
0,3,3,4,1,0,3,79.999,11,0
0,3,3,3,0,0,3,143.016,11,0
0,1,2,2,0,0,0,150.187,2,0
0,3,3,3,0,0,2,125.996,11,0
0,4,2,2,0,0,1,140.016,2,0
